Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,lateInfoMsgCd
004060,KR7004060000,SG세계물산,KOSPI,,-,0,,,,,,,,,20242496,STK,ME005
001770,KR7001770007,SHD,KOSPI,,-,0,,,,,,,,,1214878,STK,ME005
002360,KR7002360006,SH에너지화학,KOSPI,,-,0,,,,,,,,,11113373,STK,ME005
009160,KR7009160003,SIMPAC,KOSPI,,-,0,,,,,,,,,65370968,STK,ME005
033530,KR7033530007,SJG세종,KOSPI,,-,0,,,,,,,,,27052299,STK,ME005
123700,KR7123700007,SJM,KOSPI,,-,0,,,,,,,,,15604898,STK,ME005
025530,KR7025530007,SJM홀딩스,KOSPI,,-,0,,,,,,,,,14934008,STK,ME005
034730,KR7034730002,SK,KOSPI,,-,0,,,,,,,,,72502703,STK,ME005
011790,KR7011790003,SKC,KOSPI,,-,0,,,,,,,,,49598298,STK,ME005
018670,KR7018670000,SK가스,KOSPI,,-,0,,,,,,,,,9269244,STK,ME005
001740,KR7001740000,SK네트웍스,KOSPI,,-,0,,,,,,,,,200593889,STK,ME005
006120,KR7006120000,SK디스커버리,KOSPI,,-,0,,,,,,,,,17413751,STK,ME005
006125,KR7006121008,SK디스커버리우,KOSPI,,-,0,,,,,,,,,1231705,STK,ME005
210980,KR7210980009,SK디앤디,KOSPI,,-,0,,,,,,,,,18617382,STK,ME005
395400,KR7395400005,SK리츠,KOSPI,,-,0,,,,,,,,,301017620,STK,ME005
302440,KR7302440003,SK바이오사이언스,KOSPI,,-,0,,,,,,,,,78456553,STK,ME005
326030,KR7326030004,SK바이오팜,KOSPI,,-,0,,,,,,,,,78313250,STK,ME005
402340,KR7402340004,SK스퀘어,KOSPI,,-,0,,,,,,,,,131923998,STK,ME005
361610,KR7361610009,SK아이이테크놀로지,KOSPI,,-,0,,,,,,,,,81787100,STK,ME005
100090,KR7100090000,SK오션플랜트,KOSPI,,-,0,,,,,,,,,62478129,STK,ME005
03473K,KR703473K016,SK우,KOSPI,,-,0,,,,,,,,,566135,STK,ME005
096770,KR7096770003,SK이노베이션,KOSPI,,-,0,,,,,,,,,169052788,STK,ME005
096775,KR7096771001,SK이노베이션우,KOSPI,,-,0,,,,,,,,,1248426,STK,ME005
475150,KR7475150009,SK이터닉스,KOSPI,,-,0,,,,,,,,,34067004,STK,ME005
001510,KR7001510007,SK증권,KOSPI,,-,0,,,,,,,,,231295085,STK,ME005
001515,KR7001511005,SK증권우,KOSPI,,-,0,,,,,,,,,1956257,STK,ME005
285130,KR7285130001,SK케미칼,KOSPI,,-,0,,,,,,,,,17298766,STK,ME005
28513K,KR728513K010,SK케미칼우,KOSPI,,-,0,,,,,,,,,2115429,STK,ME005
017670,KR7017670001,SK텔레콤,KOSPI,,-,0,,,,,,,,,214790053,STK,ME005
000660,KR7000660001,SK하이닉스,KOSPI,,-,0,,,,,,,,,730492365,STK,ME005
003570,KR7003570009,SNT다이내믹스,KOSPI,,-,0,,,,,,,,,33252697,STK,ME005
064960,KR7064960008,SNT모티브,KOSPI,,-,0,,,,,,,,,26540272,STK,ME005
100840,KR7100840008,SNT에너지,KOSPI,,-,0,,,,,,,,,20680783,STK,ME005
036530,KR7036530004,SNT홀딩스,KOSPI,,-,0,,,,,,,,,16303886,STK,ME005
000390,KR7000390005,SP삼화,KOSPI,,-,0,,,,,,,,,27203469,STK,ME005
011810,KR7011810009,STX,KOSPI,,-,0,,,,,,,,,31017927,STK,ME005
465770,KR7465770006,STX그린로지스,KOSPI,,-,0,,,,,,,,,7218380,STK,ME005
077970,KR7077970002,STX엔진,KOSPI,,-,0,,,,,,,,,40148063,STK,ME005
002820,KR7002820009,SUN&L,KOSPI,,-,0,,,,,,,,,12063204,STK,ME005
002170,KR7002170009,SYTS,KOSPI,,-,0,,,,,,,,,3000000,STK,ME005
084870,KR7084870005,TBH글로벌,KOSPI,,-,0,,,,,,,,,20458256,STK,ME005
002710,KR7002710002,TCC스틸,KOSPI,,-,0,,,,,,,,,26213697,STK,ME005
069260,KR7069260008,TKG휴켐스,KOSPI,,-,0,,,,,,,,,40878588,STK,ME005
007980,KR7007980006,TP,KOSPI,,-,0,,,,,,,,,46897350,STK,ME005
002900,KR7002900009,TYM,KOSPI,,-,0,,,,,,,,,41400000,STK,ME005
024070,KR7024070005,WISCOM,KOSPI,,-,0,,,,,,,,,15326438,STK,ME005
037270,KR7037270006,YG PLUS,KOSPI,,-,0,,,,,,,,,63663110,STK,ME005
139130,KR7139130009,iM금융지주,KOSPI,,-,0,,,,,,,,,158363408,STK,ME005
000500,KR7000500009,가온전선,KOSPI,,-,0,,,,,,,,,29777607,STK,ME005
000860,KR7000860007,강남제비스코,KOSPI,,-,0,,,,,,,,,13000000,STK,ME005
035250,KR7035250000,강원랜드,KOSPI,,-,0,,,,,,,,,213940500,STK,ME005
011420,KR7011420007,갤럭시아에스엠,KOSPI,,-,0,,,,,,,,,27549644,STK,ME005
002100,KR7002100006,경농,KOSPI,,-,0,,,,,,,,,19522575,STK,ME005
009450,KR7009450008,경동나비엔,KOSPI,,-,0,,,,,,,,,14568592,STK,ME005
267290,KR7267290005,경동도시가스,KOSPI,,-,0,,,,,,,,,5895406,STK,ME005
012320,KR7012320008,경동인베스트,KOSPI,,-,0,,,,,,,,,2365023,STK,ME005
000050,KR7000050005,경방,KOSPI,,-,0,,,,,,,,,27415270,STK,ME005
214390,KR7214390007,경보제약,KOSPI,,-,0,,,,,,,,,23906860,STK,ME005
012610,KR7012610002,경인양행,KOSPI,,-,0,,,,,,,,,41616365,STK,ME005
013580,KR7013580006,계룡건설,KOSPI,,-,0,,,,,,,,,8930907,STK,ME005
012200,KR7012200002,계양전기,KOSPI,,-,0,,,,,,,,,27222829,STK,ME005
012205,KR7012201000,계양전기우,KOSPI,,-,0,,,,,,,,,1169079,STK,ME005
002140,KR7002140002,고려산업,KOSPI,,-,0,,,,,,,,,24939425,STK,ME005
010130,KR7010130003,고려아연,KOSPI,,-,0,,,,,,,,,20872969,STK,ME005
002240,KR7002240000,고려제강,KOSPI,,-,0,,,,,,,,,27000000,STK,ME005
009290,KR7009290008,광동제약,KOSPI,,-,0,,,,,,,,,49799808,STK,ME005
017040,KR7017040007,광명전기,KOSPI,,-,0,,,,,,,,,43337615,STK,ME005
017900,KR7017900002,광전자,KOSPI,,-,0,,,,,,,,,57943763,STK,ME005
037710,KR7037710001,광주신세계,KOSPI,,-,0,,,,,,,,,7627172,STK,ME005
030610,KR7030610000,교보증권,KOSPI,,-,0,,,,,,,,,113962961,STK,ME005
339770,KR7339770000,교촌에프앤비,KOSPI,,-,0,,,,,,,,,49965080,STK,ME005
007690,KR7007690001,국도화학,KOSPI,,-,0,,,,,,,,,9260832,STK,ME005
002720,KR7002720001,국제약품,KOSPI,,-,0,,,,,,,,,21159832,STK,ME005
083420,KR7083420000,그린케미칼,KOSPI,,-,0,,,,,,,,,24000000,STK,ME005
014530,KR7014530000,극동유화,KOSPI,,-,0,,,,,,,,,34869420,STK,ME005
014280,KR7014280002,금강공업,KOSPI,,-,0,,,,,,,,,29329357,STK,ME005
014285,KR7014281000,금강공업우,KOSPI,,-,0,,,,,,,,,589875,STK,ME005
008870,KR7008870008,금비,KOSPI,,-,0,,,,,,,,,1000000,STK,ME005
001570,KR7001570001,금양,KOSPI,,-,0,,,,,,,,,63967196,STK,ME005
002990,KR7002990000,금호건설,KOSPI,,-,0,,,,,,,,,37259974,STK,ME005
002995,KR7002991008,금호건설우,KOSPI,,-,0,,,,,,,,,292266,STK,ME005
011780,KR7011780004,금호석유화학,KOSPI,,-,0,,,,,,,,,25157325,STK,ME005
011785,KR7011781002,금호석유화학우,KOSPI,,-,0,,,,,,,,,3023486,STK,ME005
214330,KR7214330003,금호에이치티,KOSPI,,-,0,,,,,,,,,10456929,STK,ME005
001210,KR7001210004,금호전기,KOSPI,,-,0,,,,,,,,,12526366,STK,ME005
073240,KR7073240004,금호타이어,KOSPI,,-,0,,,,,,,,,287260287,STK,ME005
092440,KR7092440007,기신정기,KOSPI,,-,0,,,,,,,,,29200000,STK,ME005
000270,KR7000270009,기아,KOSPI,,-,0,,,,,,,,,390412998,STK,ME005
024110,KR7024110009,기업은행,KOSPI,,-,0,,,,,,,,,797425869,STK,ME005
013700,KR7013700000,까뮤이앤씨,KOSPI,,-,0,,,,,,,,,59750830,STK,ME005
004540,KR7004540001,깨끗한나라,KOSPI,,-,0,,,,,,,,,37240693,STK,ME005
004545,KR7004541009,깨끗한나라우,KOSPI,,-,0,,,,,,,,,366160,STK,ME005
001260,KR7001260009,남광토건,KOSPI,,-,0,,,,,,,,,9832572,STK,ME005
008350,KR7008350001,남선알미늄,KOSPI,,-,0,,,,,,,,,129079090,STK,ME005
008355,KR7008351009,남선알미우,KOSPI,,-,0,,,,,,,,,307890,STK,ME005
004270,KR7004270005,남성,KOSPI,,-,0,,,,,,,,,4560128,STK,ME005
003920,KR7003920006,남양유업,KOSPI,,-,0,,,,,,,,,5673447,STK,ME005
003925,KR7003921004,남양유업우,KOSPI,,-,0,,,,,,,,,1891149,STK,ME005
025860,KR7025860008,남해화학,KOSPI,,-,0,,,,,,,,,49678843,STK,ME005
005720,KR7005720008,넥센,KOSPI,,-,0,,,,,,,,,52543977,STK,ME005
005725,KR7005721006,넥센우,KOSPI,,-,0,,,,,,,,,3600600,STK,ME005
002350,KR7002350007,넥센타이어,KOSPI,,-,0,,,,,,,,,97667877,STK,ME005
002355,KR7002351005,넥센타이어1우B,KOSPI,,-,0,,,,,,,,,6500000,STK,ME005
092790,KR7092790005,넥스틸,KOSPI,,-,0,,,,,,,,,26002000,STK,ME005
251270,KR7251270005,넷마블,KOSPI,,-,0,,,,,,,,,83158425,STK,ME005
090350,KR7090350000,노루페인트,KOSPI,,-,0,,,,,,,,,20000000,STK,ME005
090355,KR7090351008,노루페인트우,KOSPI,,-,0,,,,,,,,,463126,STK,ME005
000320,KR7000320002,노루홀딩스,KOSPI,,-,0,,,,,,,,,13291151,STK,ME005
000325,KR7000321000,노루홀딩스우,KOSPI,,-,0,,,,,,,,,243559,STK,ME005
006280,KR7006280002,녹십자,KOSPI,,-,0,,,,,,,,,11686538,STK,ME005
005250,KR7005250006,녹십자홀딩스,KOSPI,,-,0,,,,,,,,,47028210,STK,ME005
005257,KR7005252002,녹십자홀딩스2우,KOSPI,,-,0,,,,,,,,,845990,STK,ME005
004370,KR7004370003,농심,KOSPI,,-,0,,,,,,,,,6082642,STK,ME005
072710,KR7072710007,농심홀딩스,KOSPI,,-,0,,,,,,,,,4637790,STK,ME005
058730,KR7058730003,다스코,KOSPI,,-,0,,,,,,,,,20251251,STK,ME005
030210,KR7030210009,다올투자증권,KOSPI,,-,0,,,,,,,,,60911106,STK,ME005
023590,KR7023590003,다우기술,KOSPI,,-,0,,,,,,,,,43287312,STK,ME005
145210,KR7145210001,다이나믹디자인,KOSPI,,-,0,,,,,,,,,4223666,STK,ME005
483650,KR7483650008,달바글로벌,KOSPI,,-,0,,,,,,,,,12527165,STK,ME005
019680,KR7019680008,대교,KOSPI,,-,0,,,,,,,,,40233850,STK,ME005
019685,KR7019681006,대교우B,KOSPI,,-,0,,,,,,,,,9713495,STK,ME005
006370,KR7006370001,대구백화점,KOSPI,,-,0,,,,,,,,,10821611,STK,ME005
008060,KR7008060006,대덕,KOSPI,,-,0,,,,,,,,,31287098,STK,ME005
00806K,KR700806K010,대덕1우,KOSPI,,-,0,,,,,,,,,1212357,STK,ME005
353200,KR7353200009,대덕전자,KOSPI,,-,0,,,,,,,,,49416925,STK,ME005
35320K,KR735320K011,대덕전자1우,KOSPI,,-,0,,,,,,,,,2095519,STK,ME005
000490,KR7000490003,대동,KOSPI,,-,0,,,,,,,,,28826865,STK,ME005
005750,KR7005750005,대림바스,KOSPI,,-,0,,,,,,,,,16592240,STK,ME005
006570,KR7006570006,대림통상,KOSPI,,-,0,,,,,,,,,15225000,STK,ME005
001680,KR7001680008,대상,KOSPI,,-,0,,,,,,,,,34648025,STK,ME005
001685,KR7001681006,대상우,KOSPI,,-,0,,,,,,,,,1370223,STK,ME005
084690,KR7084690007,대상홀딩스,KOSPI,,-,0,,,,,,,,,36212538,STK,ME005
084695,KR7084691005,대상홀딩스우,KOSPI,,-,0,,,,,,,,,913482,STK,ME005
128820,KR7128820008,대성산업,KOSPI,,-,0,,,,,,,,,45235478,STK,ME005
117580,KR7117580001,대성에너지,KOSPI,,-,0,,,,,,,,,27500000,STK,ME005
016710,KR7016710006,대성홀딩스,KOSPI,,-,0,,,,,,,,,16089459,STK,ME005
0030R0,KR70030R0007,대신밸류리츠,KOSPI,,-,0,,,,,,,,,59780000,STK,ME005
003540,KR7003540002,대신증권,KOSPI,,-,0,,,,,,,,,47666126,STK,ME005
003547,KR7003542008,대신증권2우B,KOSPI,,-,0,,,,,,,,,9606666,STK,ME005
003545,KR7003541000,대신증권우,KOSPI,,-,0,,,,,,,,,24383334,STK,ME005
009190,KR7009190000,대양금속,KOSPI,,-,0,,,,,,,,,43986275,STK,ME005
014160,KR7014160006,대영포장,KOSPI,,-,0,,,,,,,,,108394549,STK,ME005
047040,KR7047040001,대우건설,KOSPI,,-,0,,,,,,,,,410907638,STK,ME005
003090,KR7003090008,대웅,KOSPI,,-,0,,,,,,,,,58141980,STK,ME005
