Symbol,Name,IndustryCode,Industry,MarketCapLocal,MarketCapKrwText,Currency
VOYA,Voya Financial  Inc.,55102030,다각적 투자 서비스,8882066056,12조 41억원,USD
PNR,Pentair PLC,52102010,산업용 기계 및 장비,8858309846,"11조 9,720억원",USD
CTRE,CareTrust REIT  Inc.,60102040,특수 REITs,8844454439,"11조 9,533억원",USD
WLK,Westlake Corp,51101010,상품 화학,8792402502,"11조 8,829억원",USD
JXN,Jackson Financial Inc.,55301010,복합보험 및 중개인,8775613360,"11조 8,602억원",USD
YMM,Full Truck Alliance Co. Ltd. ADR,57201020,소프트웨어,8767249580,"11조 8,489억원",USD
SPXC,SPX Technologies Inc,52102010,산업용 기계 및 장비,8747495449,"11조 8,222억원",USD
SSL,Sasol Limited ADR,51101090,다각적 화학 산업,8739429889,"11조 8,113억원",USD
GIL,Gildan Activewear Inc.,53202020,의류 및 액세서리,8706037211,"11조 7,662억원",USD
CUBE,CubeSmart,60102040,특수 REITs,8682256476,"11조 7,341억원",USD
EAT,Brinker International Inc,53301020,레스토랑 및 바,8637421718,"11조 6,735억원",USD
ALV,Autoliv  Inc.,53101020,"자동차, 트럭 및 오토바이 부품",8585391711,"11조 6,032억원",USD
BRX,Brixmor Property Group Inc,60102020,상업용 REITs,8580149955,"11조 5,961억원",USD
ESI,Element Solutions Inc,51101030,특수 화학제,8575483264,"11조 5,898억원",USD
LTH,Life Time Group Holdings  Inc.,53301040,여가 및 오락시설,8534011794,"11조 5,337억원",USD
REXR,Rexford Industrial Realty  Inc.,60102020,상업용 REITs,8524835981,"11조 5,213억원",USD
OSK,Oshkosh Corp,52102020,중장비 및 차량,8522554952,"11조 5,182억원",USD
KNTK,Kinetik Holdings Inc.,50103030,오일 및 가스 수송 서비스,8507042568,"11조 4,973억원",USD
DY,Dycom Industries Inc,52201020,건설 및 엔지니어링,8505993093,"11조 4,958억원",USD
PRI,Primerica  Inc.,55301030,생명 및 건강 보험,8483776528,"11조 4,658억원",USD
WAL,Western Alliance Bancorporation,55101010,은행,8482592176,"11조 4,642억원",USD
PBF,PBF Energy Inc.,50102030,"오일, 가스 정제 및 마케팅",8468272493,"11조 4,449억원",USD
VIRT,Virtu Financial Inc,55102010,투자 은행 및 중개 서비스,8456860369,"11조 4,294억원",USD
AGCO,AGCO Corporation,52102020,중장비 및 차량,8449328104,"11조 4,193억원",USD
