Symbol,Name,IndustryCode,Industry
000593,Delong Composite Energy Group Co Ltd Class A,59102010,천연가스 유틸리티
002759,Tonze New Energy Technology Co Ltd Class A,51101010,상품 화학
002346,Shanghai Zhezhong Group Co Ltd Class A,52102030,전기 부품 및 장비
300596,Rianlon Corp Class A,51101010,상품 화학
002937,Ningbo Sunrise Elc Technology Co Ltd Class A,57104010,전자 장비 및 부품
301078,Kidswant Digital Technology Co Ltd Class A,54102020,식품 가공
301381,Sailvan Times Co Ltd Class A,57201030,온라인 서비스
301191,Shenzhen Phoenix Telecom Technology Co Ltd Class A,57102010,통신 및 네트워킹
300035,Hunan Zhongke Electric Co Ltd Class A,51101010,상품 화학
300188,SDIC Intelligence Information Technology Co Ltd Class A,52203040,경영 지원 서비스
002061,Zhejiang Communications Technology Co Ltd Class A,52201020,건설 및 엔지니어링
000420,Jilin Chemical Fibre Stock Co Ltd Class A,51101030,특수 화학제
300298,Sinocare Inc Class A,56101020,"의료 장비, 물품 및 유통"
002961,Ruida Futures Co Ltd Class A,55102010,투자 은행 및 중개 서비스
301177,Dr Corp Ltd Class A,53202020,의류 및 액세서리
002511,C&S Paper Co Ltd Class A,54201020,개인 생활 필수 용품
000536,Hua Ying Technology Group Co Ltd Class A,57104010,전자 장비 및 부품
301421,Nanjing Wavelength Opto-Electronic Science & Technology Co Ltd Class A,52102030,전기 부품 및 장비
300031,Wuxi Boton Technology Ltd Class A,57201030,온라인 서비스
001914,China Merchants Property Operation & Service Co Ltd Class A,60101020,부동산 서비스
300119,Tianjin Ringpu Bio-Technology Co Ltd Class A,56201040,제약
002293,Luolai Lifestyle Technology Co Ltd Class A,53204040,가정용 가구
301600,Flaircomm Microelectronics Inc Class A,57102010,통신 및 네트워킹
002208,Hefei Urban Construction Development Co Ltd Class A,60101010,"부동산 임대, 개발 및 운영"
300634,Richinfo Technology Co Ltd Class A,57201010,IT 서비스 및 컨설팅
300129,TSP Wind Power Group Co Ltd Class A,50201010,재생 가능 에너지 장비 및 서비스
002243,Shenzhen Leaguer Co Ltd Class A,51302010,용기(종이 제외) 및 포장재
002368,Taiji Computer Corp Ltd Class A,57201010,IT 서비스 및 컨설팅
002004,Huapont Life Sciences Co Ltd Class A,51101090,다각적 화학 산업
002215,Shenzhen Noposion Crop Science Co Ltd Class A,51101020,농화학제
002579,Huizhou China Eagle Electronic Technology Inc Class A,57101010,반도체
300842,Wuxi DK Electronic Materials Co Ltd Class A,57101010,반도체
300909,Shenzhen Hui Chuang Da Technology Co Ltd Class A,57104010,전자 장비 및 부품
002099,Zhejiang Hisoar Pharmaceutical Co Ltd Class A,56201040,제약
003010,Guangzhou Ruoyuchen Technology Co Ltd Class A,57201030,온라인 서비스
000818,Hangjin Technology Co Ltd Class A,51101010,상품 화학
300483,Sino Prima Gas Technology Co Ltd Class A,50102020,"오일, 가스 탐사 및 생산"
301209,Longkou Union Chemical Co Ltd Class A,51101030,특수 화학제
300045,Hwa Create Corp Class A,57102010,통신 및 네트워킹
000676,Genimous Technology Co Ltd Class A,53302010,광고 및 마케팅
300444,Beijing Sojo Electric Co Ltd Class A,52102040,중전기장비
301413,Shenzhen Ampron Technology Co Ltd Class A,57104010,전자 장비 및 부품
300053,Zhuhai Aerospace Microchips Science & Technology Co Ltd Class A,57101010,반도체
002119,Ningbo Kangqiang Electronics Co Ltd Class A,57101010,반도체
002239,Aotecar New Energy Technology Group Co Ltd Class A,53101020,"자동차, 트럭 및 오토바이 부품"
002351,Edifier Technology Co Ltd Class A,57106030,가정용 전자 제품
002703,Zhejiang Shibao Co Ltd Class A,53101020,"자동차, 트럭 및 오토바이 부품"
002392,Beijing Lirr High-temperature Materials Co Ltd Class A,51202010,건설 자재
002960,Jade Bird Integrated Technologies Co Ltd Class A,57102010,통신 및 네트워킹
000859,Anhui Guofeng New Materials Co Ltd Class A,51302010,용기(종이 제외) 및 포장재
000930,COFCO Biotechnology Co Ltd Class A,51101090,다각적 화학 산업
000848,CHENG DE LOLO Co Ltd Class A,54101030,무알콜 음료
000980,Zotye Automobile Co Ltd Class A,53101010,자동차 및 트럭 제조
301522,Zhonghe Shangda Aeronautic Materials Co Ltd Class A,51201020,철 및 강철
000823,Guangdong Goworld Co Ltd Class A,57101010,반도체
002079,Suzhou Good-Ark Electronics Co Ltd Class A,50201010,재생 가능 에너지 장비 및 서비스
002214,Zhe Jiang Dali Technology Co Ltd Class A,57104010,전자 장비 및 부품
000829,Telling Telecommunication Holding Co Ltd Class A,53403050,컴퓨터 및 전자 제품 소매
002488,Zhejiang Jingu Co Ltd Class A,53101020,"자동차, 트럭 및 오토바이 부품"
002437,HARBIN GLORIA PHARMACEUTICALS Co Ltd Class A,56201040,제약
301225,Hengbo Holdings Co Ltd Class A,53101020,"자동차, 트럭 및 오토바이 부품"
002550,Changzhou Qianhong Biopharma Co Ltd Class A,56201040,제약
300633,SonoScape Medical Corp Class A,56101010,첨단 의료 장비 및 기술
301551,Hebei Broadcasting Wireless Media Co Ltd Class A,53302020,방송
002053,Yunnan Energy Investment Co Ltd Class A,51101010,상품 화학
002221,Oriental Energy Co Ltd Class A,51101010,상품 화학
300499,Guangzhou Goaland Energy Conservation Tech Co Ltd Class A,52102030,전기 부품 및 장비
002730,Dianguang Explosion-proof Technology Co Ltd Class A,52102030,전기 부품 및 장비
002985,Beijing Bei Mo Gao Ke Friction Material Co Ltd Class A,52101010,항공우주 및 방위
300151,Shenzhen Changhong Technology Co Ltd Class A,52102010,산업용 기계 및 장비
300072,Beijing Haixin Energy Technology Co Ltd Class A,51101010,상품 화학
002885,Shenzhen JingQuanHua Electronics Co Ltd Class A,52102030,전기 부품 및 장비
