Symbol,Name,IndustryCode,Industry,MarketCapLocal,MarketCapKrwText,Currency
CINF,Cincinnati Financial Corporation,55301020,손해보험,25451264202,"34조 3,974억원",USD
BNTX,Biontech SE ADR,56202010,생명 공학 및 의학 연구,25338984398,"34조 2,456억원",USD
ASTS,AST SpaceMobile  Inc.,57401020,무선 통신 서비스,24786077693,"33조 4,984억원",USD
FISV,Fiserv Inc,52203040,경영 지원 서비스,24514445838,"33조 1,313억원",USD
PFG,Principal Financial Group Inc,55301010,복합보험 및 중개인,24320146171,"32조 8,687억원",USD
AFRM,Affirm Holdings  Inc.,57301010,핀테크,24216723543,"32조 7,289억원",USD
LPLA,LPL Financial Holdings Inc.,55102010,투자 은행 및 중개 서비스,24213254175,"32조 7,242억원",USD
GH,Guardant Health  Inc.,56101020,"의료 장비, 물품 및 유통",23774193477,"32조 1,308억원",USD
ULTA,Ulta Beauty Inc,53403090,기타 전문 소매,23681652888,32조 58억원,USD
ENTG,Entegris Inc,57101020,반도체 장비 및 테스트,23089608000,"31조 2,056억원",USD
BSP,Bending Spoons SpA,57201020,소프트웨어,22975882443,31조 519억원,USD
ROKU,Roku  Inc.,53302030,엔터테인먼트 제작,22907765140,"30조 9,598억원",USD
VRSK,Verisk Analytics  Inc.,57201010,IT 서비스 및 컨설팅,22379024703,"30조 2,453억원",USD
JBHT,J.B. Hunt Transport Services  Inc.,52405030,지상 화물 및 물류,22296345668,"30조 1,335억원",USD
TROW,T. Rowe Price Group  Inc.,55102020,투자 관리 및 펀드 운영,22221112095,30조 318억원,USD
SOFI,SoFi Technologies  Inc.,55101030,소비자 대출,22163346760,"29조 9,538억원",USD
ARXS,Arxis  Inc.,52102010,산업용 기계 및 장비,21980759561,"29조 7,070억원",USD
RIVN,Rivian Automotive Inc,53101010,자동차 및 트럭 제조,21920609938,"29조 6,257억원",USD
CASY,Caseys General Stores Inc,54301020,식품 소매 및 유통,21615414467,"29조 2,132억원",USD
FSLR,First Solar  Inc.,50201010,재생 가능 에너지 장비 및 서비스,21577784035,"29조 1,624억원",USD
MTSI,MACOM Technology Solutions Holdings  Inc.,57101010,반도체,21360185691,"28조 8,683억원",USD
FCNCA,First Citizens BancShares  Inc.,55101010,은행,21275552459,"28조 7,539억원",USD
FWONK,Liberty Media Formula One Ord Shs Series C,53302020,방송,21226694934,"28조 6,879억원",USD
TW,Tradeweb Markets Inc,55102050,"금융, 상품 시장 운영 및 서비스 제공",21042286838,"28조 4,387억원",USD
RGLD,Royal Gold  Inc.,51201060,금,21884358185,"29조 5,767억원",USD
GMAB,Genmab A/S ADR,56202010,생명 공학 및 의학 연구,21638340682,"29조 2,442억원",USD
DLTR,Dollar Tree Inc,53402020,할인점,21584989597,"29조 1,721억원",USD
UTHR,United Therapeutics Corporation,56201040,제약,21341979432,"28조 8,437억원",USD
EXE,Expand Energy Corporation,50102020,"오일, 가스 탐사 및 생산",20147774757,"27조 2,297억원",USD
VTRS,Viatris Inc.,56201040,제약,19732791044,"26조 6,689억원",USD
FTAI,FTAI Aviation Ltd.,52101010,항공우주 및 방위,19487643446,"26조 3,376억원",USD
WWD,Woodward  Inc.,52101010,항공우주 및 방위,19257203735,26조 261억원,USD
IREN,IREN Limited,57301030,블록 체인 및 암호화폐,19131547360,"25조 8,563억원",USD
SITM,SiTime Corporation,57101010,반도체,19056616934,"25조 7,550억원",USD
NTNX,Nutanix  Inc.,57201010,IT 서비스 및 컨설팅,18736984896,"25조 3,230억원",USD
SBAC,SBA Communications Corp,60102040,특수 REITs,18654533262,"25조 2,116억원",USD
SSNC,SS&C Technologies Holdings  Inc.,57201010,IT 서비스 및 컨설팅,18598754983,"25조 1,362억원",USD
CDW,CDW Corporation,57107010,통합 하드웨어 및 소프트웨어,18431319115,"24조 9,099억원",USD
KSPI,Kaspi.kz AO ADR,57301010,핀테크,18328129806,"24조 7,705억원",USD
EVRG,Evergy  Inc.,59101010,전력 유틸리티,18277059724,"24조 7,014억원",USD
NDSN,Nordson Corporation,52102010,산업용 기계 및 장비,17805416329,24조 640억원,USD
MKSI,MKS Incorporated,52102010,산업용 기계 및 장비,17605583576,"23조 7,939억원",USD
MEDP,Medpace Holdings  Inc.,56202010,생명 공학 및 의학 연구,17589645864,"23조 7,724억원",USD
TPG,TPG Inc,55102020,투자 관리 및 펀드 운영,17542018137,"23조 7,080억원",USD
CHRW,C.H. Robinson Worldwide  Inc.,52405030,지상 화물 및 물류,17476274146,"23조 6,192억원",USD
LSCC,Lattice Semiconductor Corporation,57101010,반도체,17402969228,"23조 5,201억원",USD
PAA,Plains All American Pipeline Units,50103030,오일 및 가스 수송 서비스,17321656593,"23조 4,102억원",USD
EWBC,East West Bancorp  Inc.,55101010,은행,17200468402,"23조 2,464억원",USD
TSCO,Tractor Supply Company,53403090,기타 전문 소매,17110958099,"23조 1,255억원",USD
ZBRA,Zebra Technologies Corp,57104010,전자 장비 및 부품,17108007763,"23조 1,215억원",USD
LOGI,Logitech international S.A.,57106010,컴퓨터 하드웨어,17014211557,"22조 9,947억원",USD
AKAM,Akamai Technologies Inc,57201010,IT 서비스 및 컨설팅,17007423509,"22조 9,855억원",USD
LNT,Alliant Energy Corp,59101010,전력 유틸리티,16754977249,"22조 6,444억원",USD
GEN,Gen Digital Inc.,57201020,소프트웨어,16335440103,22조 773억원,USD
SMTC,Semtech Corporation,57101010,반도체,16269456381,"21조 9,882억원",USD
FUTU,Futu Holdings Limited ADR,57301010,핀테크,16023963119,"21조 6,564억원",USD
TIGO,Millicom International Cellular S.A.,57401020,무선 통신 서비스,15812561485,"21조 3,707억원",USD
STRL,Sterling Infrastructure  Inc.,52201020,건설 및 엔지니어링,15801110743,"21조 3,552억원",USD
JAZZ,Jazz Pharmaceuticals PLC,56201040,제약,15616499789,"21조 1,057억원",USD
ASND,Ascendis Pharma A/S,56202010,생명 공학 및 의학 연구,15602002080,21조 861억원,USD
HST,Host Hotels & Resorts  Inc.,60102040,특수 REITs,15264571610,"20조 6,301억원",USD
PTC,PTC Inc.,57201020,소프트웨어,15190876540,"20조 5,305억원",USD
APA,APA Corporation,50102020,"오일, 가스 탐사 및 생산",14819868873,20조 291억원,USD
LAMR,Lamar Advertising Co,60102040,특수 REITs,14737905639,"19조 9,183억원",USD
VNOM,Viper Energy Inc,50102020,"오일, 가스 탐사 및 생산",14644375788,"19조 7,919억원",USD
INIO,Innio NV,52102010,산업용 기계 및 장비,14632500000,"19조 7,758억원",USD
NBIX,Neurocrine Biosciences  Inc.,56201040,제약,14459595997,"19조 5,421억원",USD
EXEL,Exelixis Inc,56202010,생명 공학 및 의학 연구,14408505390,"19조 4,731억원",USD
CG,Carlyle Group Inc,55102020,투자 관리 및 펀드 운영,14335268464,"19조 3,741억원",USD
LECO,Lincoln Electric Holdings  Inc.,52102010,산업용 기계 및 장비,14334469033,"19조 3,730억원",USD
WMG,Warner Music Group Corp.,53302030,엔터테인먼트 제작,14327976573,"19조 3,643억원",USD
TLN,Talen Energy Corp,59101020,민자 발전 사업,14112665846,19조 733억원,USD
CHKP,Check Point Software Technologies Ltd.,57201020,소프트웨어,14001059940,"18조 9,224억원",USD
TEM,Tempus AI  Inc.,56202010,생명 공학 및 의학 연구,13927758816,"18조 8,234억원",USD
ARCC,Ares Capital Corp,55102020,투자 관리 및 펀드 운영,13900922279,"18조 7,871억원",USD
